"name","version","license","ecosystem","source"
"zerovec","0.11.7","Unicode-3.0","cargo","https://crates.io/crates/zerovec/0.11.7"
"zerovec-derive","0.11.4","Unicode-3.0","cargo","https://crates.io/crates/zerovec-derive/0.11.4"
"zmij","1.0.23","MIT","cargo","https://crates.io/crates/zmij/1.0.23"
"zstd","0.13.3","MIT","cargo","https://crates.io/crates/zstd/0.13.3"
"zstd-safe","7.2.4","MIT OR Apache-2.0","cargo","https://crates.io/crates/zstd-safe/7.2.4"
"zstd-sys","2.0.16+zstd.1.5.7","MIT/Apache-2.0","cargo","https://crates.io/crates/zstd-sys/2.0.16%2Bzstd.1.5.7"
"@commander-js/extra-typings","12.1.0","MIT","pnpm","https://www.npmjs.com/package/@commander-js/extra-typings/v/12.1.0"
"@fontsource/atkinson-hyperlegible","5.3.0","OFL-1.1","pnpm","https://www.npmjs.com/package/@fontsource/atkinson-hyperlegible/v/5.3.0"
"@fontsource/m-plus-rounded-1c","5.3.0","OFL-1.1","pnpm","https://www.npmjs.com/package/@fontsource/m-plus-rounded-1c/v/5.3.0"
"@inquirer/external-editor","1.0.3","MIT","pnpm","https://www.npmjs.com/package/@inquirer/external-editor/v/1.0.3"
"@inquirer/figures","1.0.9","MIT","pnpm","https://www.npmjs.com/package/@inquirer/figures/v/1.0.9"
"@types/node","24.12.4","MIT","pnpm","https://www.npmjs.com/package/@types/node/v/24.12.4"
"ansi-escapes","4.3.2","MIT","pnpm","https://www.npmjs.com/package/ansi-escapes/v/4.3.2"
"ansi-regex","5.0.1","MIT","pnpm","https://www.npmjs.com/package/ansi-regex/v/5.0.1"
"ansi-styles","4.3.0","MIT","pnpm","https://www.npmjs.com/package/ansi-styles/v/4.3.0"
"base64-js","1.5.1","MIT","pnpm","https://www.npmjs.com/package/base64-js/v/1.5.1"
"bl","4.1.0","MIT","pnpm","https://www.npmjs.com/package/bl/v/4.1.0"
"buffer","5.7.1","MIT","pnpm","https://www.npmjs.com/package/buffer/v/5.7.1"
"chalk","4.1.2","MIT","pnpm","https://www.npmjs.com/package/chalk/v/4.1.2"
"chardet","2.1.1","MIT","pnpm","https://www.npmjs.com/package/chardet/v/2.1.1"
"cli-cursor","3.1.0","MIT","pnpm","https://www.npmjs.com/package/cli-cursor/v/3.1.0"
"cli-spinners","2.9.2","MIT","pnpm","https://www.npmjs.com/package/cli-spinners/v/2.9.2"
"cli-width","4.1.0","ISC","pnpm","https://www.npmjs.com/package/cli-width/v/4.1.0"
"clone","1.0.4","MIT","pnpm","https://www.npmjs.com/package/clone/v/1.0.4"
"color-convert","2.0.1","MIT","pnpm","https://www.npmjs.com/package/color-convert/v/2.0.1"
"color-name","1.1.4","MIT","pnpm","https://www.npmjs.com/package/color-name/v/1.1.4"
"commander","12.1.0","MIT","pnpm","https://www.npmjs.com/package/commander/v/12.1.0"
"defaults","1.0.4","MIT","pnpm","https://www.npmjs.com/package/defaults/v/1.0.4"
"emoji-regex","8.0.0","MIT","pnpm","https://www.npmjs.com/package/emoji-regex/v/8.0.0"
"has-flag","4.0.0","MIT","pnpm","https://www.npmjs.com/package/has-flag/v/4.0.0"
